"Source:","C:\Users\evgen\Desktop\SmartWatch\Hardware\SmartWatch\SmartWatch.sch"
"Date:","1/24/2022 10:11:59 AM"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","78"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","STANDARD"
"","","AE1","Antenna","Device:Antenna","RF_Antenna:Texas_SWRA117D_2.4GHz_Left","~","","","","","","","","","",""
"","","BT1","RJD2430C1ST1","Device:Battery_Cell","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~","","","","","","","","","",""
"","","C1","100nF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C2","10nF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C4","22pF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C5","22pF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C6","100nF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C7","100nF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C8","4.7uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C9","1uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C10","1uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C11","1uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C12","4.7uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C13","4.7uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C14","10uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C15","10uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C16","4.7uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C17","10uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C18","100nF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C19","10nF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C20","10nF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C21","C","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C22","C","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C23","10uF","Device:CP","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C24","0.1uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C25","10uF","Device:CP","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C26","0.1uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C27","0.1uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C28","10uF","Device:CP","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C29","10uF","Device:CP","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C30","10uF","Device:CP","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C31","0.1uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","C32","0.1uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"","","D1","ESD9B5.0ST5G","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","","","","","","","",""
"","","IC1","6PAIC3109TWRHMRQ1","SamacSys_Parts:6PAIC3109TWRHMRQ1","QFN50P500X500X90-33N-D","http://www.ti.com/lit/gpn/tlv320aic3109-q1","Automotive Low-Power 96kHz Mono Audio Codec","0.9","","","Texas Instruments","6PAIC3109TWRHMRQ1","595-6PAIC3109TWRHMRQ","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/6PAIC3109TWRHMRQ1?qs=YCa%2FAAYMW01e2%252ByS6efv8w%3D%3D","",""
"","","IC2","SPG08P4HM4H-1","SamacSys_Parts:SPG08P4HM4H-1","SPG08P4HM4H1","https://www.knowles.com/docs/default-source/default-document-library/spg08p4hm4h-1-baracus-datasheet-rev-b.pdf","MEMS Microphones Multimode Digital Top Port Sisonic Microphone","1.2","","","Knowles","SPG08P4HM4H-1","721-SPG08P4HM4H-1","https://www.mouser.co.uk/ProductDetail/Knowles/SPG08P4HM4H-1/?qs=T3oQrply3y%252Bb8ucRl7oMfg%3D%3D","",""
"","","IC3","MC3630","SamacSys_Parts:MC3630","MC3630","https://mcubemems.com/wp-content/uploads/2019/11/MC3630-Datasheet-APS-048-0047v1.5.pdf","Accelerometers Digital output 3 Axis Acceleronmeter","1","","","MEMSIC","MC3630","498-MC3630","https://www.mouser.co.uk/ProductDetail/MEMSIC/MC3630?qs=d5t9DBkVG1jdxQf02rIiZA%3D%3D","",""
"","","J1","Charging Port","Connector:Conn_01x02_Female","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~","","","","","","","","","",""
"","","J2","DA_PROG_CONN","Connector:Conn_01x07_Female","Connector_PinHeader_1.00mm:PinHeader_1x07_P1.00mm_Vertical_SMD_Pin1Left","~","","","","","","","","","",""
"","","J3","ARD_PROG_CONN","Connector:Conn_01x04_Female","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left","~","","","","","","","","","",""
"","","J4","Adafruit 4520","Connector:Conn_01x24_Female","Connector_FFC-FPC:Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal","~","","","","","","","","","",""
"","","JP1","Jumper","Device:Jumper","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm","~","","","","","","","","","",""
"","","L1","470nH","Device:L","Inductor_SMD:L_0402_1005Metric","~","","","","","","","","","",""
"","","L2","470nH","Device:L","Inductor_SMD:L_0402_1005Metric","~","","","","","","","","","",""
"","","LS1","SMS-1508MS-HT-R","SamacSys_Parts:SMS-1508MS-HT-R","SMS1508MSHTR","https://www.mouser.ch/datasheet/2/334/SMS_1508MS_HT_R-1903128.pdf","SURFACE MOUNT SPEAKER .8 W 8 OHM","4.5","","","PUI Audio","SMS-1508MS-HT-R","665-SMS1508MSHTR","https://www.mouser.co.uk/ProductDetail/PUI-Audio/SMS-1508MS-HT-R?qs=DPoM0jnrROW0WGxPj9sCAA%3D%3D","",""
"","","M1","c0720b001f","Motor:Motor_DC","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~","","","","","","","","","",""
"","","Q1","ECH8693R-TL-W","SamacSys_Parts:ECH8693R-TL-W","SOTFL65P280X95-8N","http://www.onsemi.com/pub/Collateral/ECH8693R-D.PDF","ON SEMICONDUCTOR - ECH8693R-TL-W - MOSFET, DUAL N-CH, 24V, 14A, SOT-28FL","0.95","","","ON Semiconductor","ECH8693R-TL-W","863-ECH8693R-TL-W","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/ECH8693R-TL-W/?qs=Tr3lMbyRyKkLUc9md0qy2g%3D%3D","",""
"","","Q2","ECH8693R-TL-W","SamacSys_Parts:ECH8693R-TL-W","SOTFL65P280X95-8N","http://www.onsemi.com/pub/Collateral/ECH8693R-D.PDF","ON SEMICONDUCTOR - ECH8693R-TL-W - MOSFET, DUAL N-CH, 24V, 14A, SOT-28FL","0.95","","","ON Semiconductor","ECH8693R-TL-W","863-ECH8693R-TL-W","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/ECH8693R-TL-W/?qs=Tr3lMbyRyKkLUc9md0qy2g%3D%3D","",""
"","","R1","5.1M","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R2","5.1M","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R3","330","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R4","0.39","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R5","2.2K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R6","10K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R7","330","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R8","10K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R9","4.7K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R10","4.7K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R11","100m","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R12","10K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R13","10K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R14","10K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R15","10K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R16","3.3K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R17","3.3K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","R18","3.3K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"","","SW1","UP","Switch:SW_MEC_5G","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","http://www.apem.com/int/index.php?controller=attachment&id_attachment=488","","","","","","","","","",""
"","","SW2","CHOOSE","Switch:SW_MEC_5G","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","http://www.apem.com/int/index.php?controller=attachment&id_attachment=488","","","","","","","","","",""
"","","SW3","DOWN","Switch:SW_MEC_5G","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","http://www.apem.com/int/index.php?controller=attachment&id_attachment=488","","","","","","","","","",""
"","","U1","BQ297xy","Battery_Management:BQ297xy","Package_SON:WSON-6_1.5x1.5mm_P0.5mm","http://www.ti.com/lit/ds/symlink/bq2970.pdf","","","","","","","","","",""
"","","U2","ATmega328P-MMH","MCU_Microchip_ATmega:ATmega328P-MMH","Package_DFN_QFN:QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","","","","","","","","","",""
"","","U3","W25Q128JVS","Memory_Flash:W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","","","","","","","","","",""
"","","U4","MAX30100EFD+","MAX30100:MAX30100EFD+","MAX30100:MAX30100EFD&plus_","","","","","","","","","","",""
"","","U5","DA14683-00000A92","DA14683-00000A92:DA14683-00000A92","XCVR_DA14680-01F08A92","","","","Dialog Semiconductor","0.85 mm","","","","","5","IPC 7351B"
"","","Y1","16Mhz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD","~","","","","","","","","","",""
"","","Y2","16Mhz","Device:Crystal_GND2","Crystal:Crystal_SMD_HC49-SD","~","","","","","","","","","",""
